WASP-97 b,"[['WASP-91 b', 48.659633125652526], ['WASP-99 b', 30.371318311281932], ['WASP-18 b', 36.81878899939241], ['WASP-45 b', 95.67083562160988], ['HIP 8541 b', 17.907452590775208], ['HATS-71 b', 22.17786982305577]]"
HD 126614 b,"[['1RXS J160929.1-210524 b', 88.93982573310718], ['HD 142245 b', 49.59035752020639]]"
51 Peg b,"[['2MASS J21402931+1625183 A b', 11.480904227888598], ['HD 1461 b', 13.990809860798844], ['HN Peg b', 5.967997189925199]]"
WISEP J121756.91+162640.2 A b,"[['61 Vir d', 6.213813829110477], ['70 Vir b', 8.786271421333172], ['Ross 458 c', 2.523117108335504], ['GJ 436 b', 2.3069175396902084]]"
14 And b,"[['2MASS J22362452+4751425 b', 17.174245594489555], ['HAT-P-1 b', 85.04775943010179], ['HD 1605 b', 22.929712300786395]]"
7 CMa b,"[['7 CMa c', 0.0], ['HD 64114 b', 14.572359207732713], ['HIP 38594 b', 6.489162840875482], ['HD 45184 c', 4.144251435548691]]"
HD 92987 b,"[['2MASS J12073346-3932539 b', 25.635843807322974], ['HD 83443 b', 10.037941659892667], ['HD 98649 b', 13.277640412881404]]"
70 Vir b,"[['CFBDSIR J145829+101343 b', 9.42309481481119], ['HD 128311 b', 5.276711288650794], ['HD 114783 b', 6.0270165710847685], ['tau Boo b', 2.8233836440581155], ['GJ 504 b', 1.6519239461438218]]"
GJ 86 b,"[['GJ 163 c', 5.952261801647699], ['HD 142 c', 16.47816803697218], ['LHS 3844 b', 7.817336920403001]]"
GJ 163 c,"[['GJ 163 d', 0.0], ['TOI-270 d', 7.4201978095451215], ['TOI-540 b', 2.866622700849242], ['HR 810 b', 4.395064203425237], ['HD 27442 b', 3.5921756897766146], ['GJ 163 b', 0.0]]"
BD-11 4672 b,"[['BD-11 4672 c', 0.0], ['nu Oph c', 19.647002611508913], ['K2-129 b', 8.313140493583846], ['HD 176986 c', 3.5373440605148048]]"
WASP-67 b,"[['WASP-68 b', 49.25616280664917], ['WASP-94 B b', 69.46515944098432], ['K2-139 b', 41.02115849798701], ['WASP-123 b', 54.75925322196077], ['K2-201 c', 15.418445607629218]]"
WD 1856+534 b,"[['HAT-P-11 b', 14.10275259939358], ['HD 158259 e', 6.633641112514956]]"
HD 126525 b,"[['HD 142415 b', 9.75073276925029], ['HIP 71135 b', 5.370641746407143], ['HD 121504 b', 5.8018220527715245], ['HD 117618 b', 6.616761489721322]]"
2MASS J21402931+1625183 A b,"[['HR 8799 e', 18.424626663593926], ['HD 196885 A b', 12.147344215944598]]"
HR 8799 e,"[['HR 8799 c', 0.0], ['HR 8799 d', 0.0], ['HR 8799 b', 0.0]]"
EPIC 206215704 b,"[['EPIC 206032309 b', 54.69920356802787], ['K2-167 b', 32.421248408194536], ['K2-325 b', 36.13559750328177], ['K2-62 c', 5.993687131664753]]"
iot Dra b,"[['HD 141399 b', 8.611620305045488], ['HD 113337 b', 11.291095305084946], ['HD 156279 b', 9.207540215779874], ['DE CVn b', 12.03028437407438]]"
HD 141399 b,"[['HD 141399 c', 0.0], ['HD 141399 d', 0.0], ['HD 141399 e', 0.0], ['HD 155358 c', 16.149741282462532]]"
1RXS J160929.1-210524 b,"[['HIP 79098 AB b', 6.756744237969398], ['USco CTIO 108 b', 7.348664565040353], ['GSC 06214-00210 b', 7.389246655216259]]"
HIP 79098 AB b,"[['HIP 78530 b', 12.067305316778539], ['USco1556 b', 10.121279103561927], ['USco1621 b', 11.8652005620273]]"
HIP 67851 b,"[['HIP 74890 b', 34.86617326164387], ['HIP 67851 c', 0.0]]"
BD-10 3166 b,"[['WASP-34 b', 53.730625285100054], ['HD 110014 b', 43.23290971221999], ['WASP-127 b', 21.706916016486765], ['HD 96167 b', 2.723907868826518], ['HD 95872 b', 19.769906785867605]]"
WASP-76 b,"[['HD 14067 b', 55.475856543404845], ['WASP-156 b', 24.358372986446746], ['K2-148 b', 26.154690847309553], ['HD 14787 b', 25.47867221644525], ['HD 10442 b', 16.09894287409404]]"
HIP 71135 b,"[['HIP 70849 b', 8.82399701807511], ['HD 111232 b', 11.1559842401015]]"
HIP 74890 b,"[['HIP 67537 b', 36.26667471639498], ['HD 143361 b', 25.692657992792313], ['TYC 8998-760-1 b', 45.86344246547669]]"
HD 14067 b,"[['WASP-33 b', 37.90825536718474]]"
2MASS J04414489+2301513 b,"[['BD+20 594 b', 59.42115427133559], ['DH Tau b', 10.887229919328783], ['TAP 26 b', 20.701666185379015], ['K2-232 b', 15.441992945122358]]"
GJ 667 C c,"[['GJ 667 C e', 0.0], ['GJ 667 C b', 0.0], ['GJ 682 c', 2.056262411188652], ['GJ 667 C f', 0.0], ['GJ 667 C g', 0.0]]"
2MASS J12073346-3932539 b,"[['HD 109749 b', 6.584579925375704], ['HD 103197 b', 13.721880352767968]]"
HD 113337 b,"[['bet UMi b', 9.580329829557689], ['TOI-1266 c', 1.5705918449544638], ['HIP 65407 c', 22.5711412305399]]"
HIP 70849 b,"[['HD 113538 b', 9.614339948322296], ['HD 128356 b', 9.213207685641365], ['HD 134060 b', 6.763994270857417], ['HD 125595 b', 5.026386674237437]]"
2MASS J02192210-3925225 b,"[['HD 6434 b', 10.67502425536963], ['HD 13724 b', 6.807203387717323], ['HR 858 d', 10.008243886795997], ['HD 15337 b', 10.295561394689596]]"
HD 65216 b,"[['HD 65216 c', 0.0], ['HD 63765 b', 6.1275239373219295], ['HD 63454 b', 9.649612264428452], ['TOI-700 b', 6.7397355993998795]]"
Wolf 503 b,"[['HD 109271 c', 20.05227563138314], ['HD 111998 b', 14.59732563981955]]"
GU Psc b,"[['HD 5608 b', 18.81072454554651], ['HD 12484 b', 16.460832109149848], ['HD 3167 d', 13.024377114341428]]"
HD 63433 b,"[['HD 63433 c', 0.0]]"
HD 142245 b,"[['eps CrB b', 32.11248369889971], ['XO-1 b', 72.64459554078908], ['Qatar-6 b', 28.861651417266568]]"
WASP-18 b,"[['WASP-18 c', 0.0], ['DMPP-2 b', 27.629234154393494]]"
HD 64114 b,"[['HD 66141 b', 38.2243846016737], ['HD 60532 b', 8.187036786133762], ['HIP 35173 b', 6.699984388828848]]"
HD 60532 b,"[['HD 60532 c', 0.0], ['GJ 2056 b', 3.656929419817668]]"
EPIC 206032309 b,"[['WASP-177 b', 43.379002664202], ['WASP-136 b', 54.82929891404322], ['K2-138 e', 32.131094987239166], ['K2-71 b', 13.860337750045636], ['K2-58 b', 29.856834135494715]]"
WASP-34 b,"[['WASP-166 b', 45.22970706502612], ['HD 86950 b', 90.50061112970356], ['HD 98219 b', 20.152625120938296]]"
HD 66141 b,"[['HD 59686 A b', 36.96389891198347], ['HAT-P-20 b', 28.23413543836718], ['HD 74156 b', 12.397283039018744], ['HD 72892 b', 22.408883450312953]]"
HIP 67537 b,"[['WASP-41 b', 64.80400532180434], ['TOI-763 b', 25.03130354706284], ['WASP-132 b', 20.861494773784923], ['HIP 65426 b', 24.28018738699863], ['HIP 67522 b', 14.799737377261417], ['PDS 70 c', 7.339521566254251]]"
WASP-41 b,"[['WASP-41 c', 0.0], ['WASP-16 b', 80.6544964216193], ['WASP-25 b', 51.41711995812472], ['WASP-42 b', 37.283302636743116]]"
WASP-84 b,"[['EPIC 211822797 b', 75.0635982762285], ['HIP 41378 b', 26.316563984009882]]"
HAT-P-13 b,"[['HAT-P-13 c', 0.0], ['WASP-13 b', 61.6053745686455], ['XO-5 b', 83.81752953341626]]"
HD 142415 b,"[['HD 147018 b', 7.748277911832414]]"
HD 1461 b,"[['HD 1461 c', 0.0], ['GJ 9827 c', 9.123484257776655], ['HIP 4845 b', 4.88568416312754]]"
BD+20 594 b,"[['K2-111 b', 28.75721508571281]]"
HD 110014 b,"[['K2-110 b', 37.1340979496243], ['K2-242 b', 20.271024995560264], ['K2-229 c', 6.34320474631955]]"
XO-6 b,"[['XO-3 b', 79.93920619988162], ['XO-4 b', 83.07086568980674], ['Qatar-8 b', 91.47570223195555], ['HD 24064 b', 79.91272146977866]]"
WASP-94 B b,"[['WASP-7 b', 23.705590498265245], ['WASP-94 A b', 32.46000314785342], ['HD 202772 A b', 41.713742707780455]]"
WASP-68 b,"[['WASP-70 A b', 50.58518462127218]]"
WASP-70 A b,"[['WASP-47 e', 71.85847843318133], ['TOI-172 b', 113.09816947603399], ['WASP-89 b', 55.332392970848936], ['WASP-90 b', 139.8740505039419]]"
WASP-99 b,"[['WASP-62 b', 83.98595505574458], ['WASP-117 b', 5.649450047699664]]"
WASP-47 e,"[['EPIC 205950854 c', 29.785272037723466], ['WASP-47 d', 0.0], ['EPIC 206317286 b', 63.237463660975806], ['WASP-47 b', 0.0], ['WASP-47 c', 0.0], ['K2-73 b', 22.918840832285934]]"
HD 113538 b,"[['HD 136352 d', 5.953161476106918], ['HD 114613 b', 6.353674649170484], ['HD 113538 c', 0.0]]"
Gl 378 b,"[['HIP 48714 b', 5.474703871468367]]"
GJ 9827 c,"[['GJ 9827 d', 0.0], ['GJ 9827 b', 0.0], ['HD 218566 b', 2.484243486550509]]"
HD 90156 b,"[['HIP 54373 b', 5.997466966919513], ['HD 93083 b', 7.0603827668205135], ['GJ 3634 b', 3.5139272724873183]]"
HIP 54373 b,"[['HIP 54373 c', 0.0], ['HD 99492 b', 7.3184160483749015], ['LP 791-18 b', 7.85265121712925], ['LTT 3780 b', 5.915089838691991], ['HD 104067 b', 4.4691952493534695]]"
HD 63454 b,"[['HD 137388 b', 12.90878687331858], ['HD 38283 b', 5.667384740573192]]"
HD 109271 c,"[['WASP-107 b', 9.034256030412392], ['HD 99109 b', 19.211840705432348], ['HD 103774 b', 8.823707452940278], ['HD 109271 b', 0.0]]"
HIP 57274 b,"[['HIP 57274 c', 0.0], ['HIP 57274 d', 0.0], ['HD 97658 b', 5.533638652416147]]"
24 Boo b,"[['HD 136418 b', 22.903534600373693], ['HD 118203 b', 15.706340737508794]]"
HIP 5158 b,"[['HIP 5158 c', 0.0], ['HD 6718 b', 12.769006091928683], ['HD 4732 c', 5.046981387832374], ['HD 11506 b', 10.159226858804352]]"
WASP-33 b,"[['WASP-11 b', 24.24819011516709]]"
WASP-62 b,"[['WASP-126 b', 68.82999163587458], ['TOI-216.02', 18.374686247434976], ['CHXR 73 b', 85.40613263035826], ['WASP-23 b', 82.10399148561207]]"
WASP-126 b,"[['WASP-126 c', 0.0], ['TOI-813 b', 50.58920793976657]]"
HD 137388 b,"[['HD 142022 A b', 6.789363198546491], ['HD 131664 b', 13.574425757739307]]"
61 Vir d,"[['VHS J125601.92-125723.9 b', 4.410373155294286], ['61 Vir b', 0.0], ['61 Vir c', 0.0], ['GJ 536 b', 3.617257427704049]]"
HR 858 d,"[['HR 858 b', 0.0], ['HR 858 c', 0.0], ['HIP 12961 b', 9.37328058748332], ['HD 21411 b', 4.8360221866479565], ['HD 20782 b', 5.533894605445019]]"
DH Tau b,"[['V1298 Tau b', 36.403037354540274], ['V830 Tau b', 11.366298084251552], ['KELT-7 b', 28.12583545619333], ['FU Tau b', 4.966586249887751]]"
V1298 Tau b,"[['V1298 Tau c', 0.0], ['V1298 Tau d', 0.0], ['V1298 Tau e', 0.0], ['K2-155 b', 27.32521165995687], ['K2-174 b', 10.928126651756743], ['K2-88 b', 12.262442769665688]]"
WASP-42 b,"[['WASP-129 b', 81.435008687072], ['WASP-130 b', 23.4890769567506]]"
XO-1 b,"[['HD 145934 b', 82.74268853929792], ['HD 145457 b', 29.10957221140446], ['WASP-14 b', 59.89464824465675], ['HAT-P-18 b', 41.48230737047253]]"
EPIC 211822797 b,"[['K2-105 b', 24.558381866007448], ['K2-101 b', 4.763915100830838]]"
HAT-P-11 b,"[['HAT-P-11 c', 0.0], ['Kepler-138 b', 29.82059846240354], ['HIP 91258 b', 14.859031740205658], ['Kepler-444 f', 5.6984030593108566], ['HD 197037 b', 7.989024859221099]]"
bet UMi b,"[['HD 143105 b', 11.375381194555633], ['HD 150706 b', 11.432635286610022]]"
HU Aqr AB b,"[['HU Aqr AB c', 0.0]]"
eps Eri b,"[[""Teegarden's Star c"", 1.8124701780548864], ['Kapteyn c', 2.614759434807355], ['HD 26965 b', 1.9668499469343799]]"
GJ 849 b,"[['TRAPPIST-1 h', 4.45225321125272], ['GJ 1265 b', 2.61120850493788]]"
TRAPPIST-1 h,"[['TRAPPIST-1 g', 0.0], ['TRAPPIST-1 f', 0.0], ['TRAPPIST-1 e', 0.0], ['TRAPPIST-1 b', 0.0], ['TRAPPIST-1 c', 0.0], ['TRAPPIST-1 d', 0.0], ['HD 217107 c', 7.695555709382214]]"
TYC 8998-760-1 b,"[['TYC 8998-760-1 c', 0.0], ['HD 95086 b', 24.691232106148647]]"
HD 136418 b,"[['HAT-P-12 b', 49.024223918049536], ['HD 139357 b', 24.682068222458806], ['HD 132563 b', 8.18201641313698]]"
HD 143361 b,"[['HD 145377 b', 23.802310504390285], ['HD 154672 b', 19.25364801300065], ['HD 152079 b', 23.15587465356095]]"
K2-101 b,"[['K2-100 b', 4.575489750711955], ['Pr0211 c', 5.793347231043657]]"
K2-100 b,"[['K2-102 b', 1.982720011280675], ['K2-104 b', 1.1209669022812325]]"
TOI-700 b,"[['TOI-700 d', 0.0], ['HR 2562 b', 4.460785457880191], ['TOI-700 c', 0.0], ['LHS 1815 b', 5.792957094802809]]"
DMPP-1 b,"[['TOI-421 b', 14.795497102297714], ['HD 44219 b', 14.054580237935525], ['HD 290327 b', 11.886086540160164], ['DMPP-1 e', 0.0], ['DMPP-1 c', 0.0], ['DMPP-1 d', 0.0]]"
TOI-216.02,"[['TOI-216.01', 0.0]]"
TOI-763 b,"[['TOI-763 c', 0.0]]"
HAT-P-1 b,"[['WASP-10 b', 27.957898682580247], ['WASP-93 b', 117.2030897713135], ['HAT-P-8 b', 54.2552867763366]]"
WASP-166 b,"[['TOI-677 b', 70.93695193223101]]"
TOI-1266 c,"[['TOI-1266 b', 0.0], ['TOI-1235 b', 11.967420849960929]]"
TOI-1899 b,"[['TrES-1 b', 42.27363878639311], ['Kepler-974 b', 25.013517460310357], ['Kepler-96 b', 6.4869124380887415], ['KELT-20 b', 25.35826045226531]]"
HD 147018 b,"[['TOI-1130 c', 31.253868700310157], ['HD 129445 b', 27.16178423077683], ['HD 330075 b', 9.983425161889425], ['HD 147018 c', 0.0]]"
TOI-1130 c,"[['TOI-1130 b', 0.0], ['K2-147 b', 34.5918797545311], ['HD 159868 c', 16.130572469325482], ['HD 190647 b', 13.735163545113936], ['HD 181720 b', 9.705274953024484]]"
WASP-45 b,"[['TOI-849 b', 79.74322616315631], ['WASP-173 A b', 41.83930776689892], ['WASP-105 b', 89.85434902435581], ['WASP-20 b', 44.45958835703878]]"
TrES-1 b,"[['TrES-3 b', 82.83067314463258], ['Kepler-994 b', 33.09316844239165], ['Kepler-205 c', 14.725431453579894]]"
TOI-270 d,"[['RR Cae b', 1.930708948099321], ['TOI-270 b', 0.0], ['TOI-270 c', 0.0], ['bet Pic c', 4.996478908006176]]"
USco1621 b,"[['ROXs 42 B b', 6.468658685265703], ['ROXs 12 b', 2.8178264651818234]]"
TrES-3 b,"[['Kepler-1439 b', 55.91309855103497], ['WASP-148 c', 55.40487069879362], ['HAT-P-14 b', 25.073520361758693]]"
ROXs 42 B b,"[['SR 12 AB c', 22.76314155013676], ['Oph 11 b', 11.039877797935349]]"
HD 1397 b,"[['WASP-145 A b', 32.399687711179446], ['TOI-125 b', 34.03053648203516], ['HD 11977 b', 16.915603991462287], ['HD 224538 b', 7.2311223771066], ['HD 222076 b', 14.486878067782495]]"
TOI-125 b,"[['TOI-125 d', 0.0], ['TOI-125 c', 0.0]]"
WASP-140 b,"[['UZ For b', 66.25421982179131], ['WASP-35 b', 73.03550140834007]]"
UZ For b,"[['UZ For c', 0.0], ['WASP-22 b', 81.56170088840727], ['WASP-79 b', 51.91529176607778], ['WASP-139 b', 65.90618089870678], ['HATS-57 b', 58.434417564315034]]"
EPIC 206317286 b,"[['EPIC 206024342 b', 77.21568775819844], ['K2-59 b', 34.24344935746986], ['K2-39 b', 9.97126184527787]]"
Pr0211 c,"[['Pr0201 b', 3.7233319009101855], ['Pr0211 b', 0.0], ['K2-95 b', 4.783818704157585], ['K2-264 c', 4.35792084573497]]"
PDS 70 c,"[['PDS 70 b', 0.0]]"
USco1556 b,"[['GQ Lup b', 27.895676706699216]]"
Kepler-138 b,"[['Kepler-138 c', 0.0], ['Kepler-138 d', 0.0], ['Kepler-1308 b', 9.318438426046846], ['Kepler-409 b', 5.190794555414038], ['Kepler-37 b', 6.143476479224864]]"
WASP-173 A b,"[['PSR J2322-2650 b', 34.04188141578283], ['WASP-4 b', 47.669425312831436]]"
HIP 65426 b,"[['HIP 65891 b', 29.105887761962133], ['HD 106906 b', 21.737654074145034]]"
HD 145457 b,"[['WASP-38 b', 39.75118128857682], ['HD 148284 b', 18.01137288874778]]"
HD 13931 b,"[['HD 13908 b', 39.79527617470559], ['HD 23596 b', 15.534684037821142], ['HD 16175 b', 13.064403418989816]]"
HD 13908 b,"[['HD 13908 c', 0.0], ['HD 2952 b', 41.01295807849502], ['HD 17156 b', 9.45587818768834]]"
HIP 65407 c,"[['HIP 65407 b', 0.0], ['HD 132406 b', 22.600190030406775], ['HD 233832 b', 19.235020734040933]]"
HD 564 b,"[['HIP 65 A b', 9.575696452718411]]"
HIP 65891 b,"[['HIP 63242 b', 29.274930139061606]]"
PSR J2322-2650 b,"[['WASP-26 b', 77.20275230721695], ['WASP-6 b', 36.360569281458865]]"
Kepler-1439 b,"[['WASP-3 b', 34.86766617073518], ['Kepler-141 b', 101.50182153424684], ['Kepler-131 b', 17.254381911976196], ['Kepler-779 b', 15.614543407855955], ['Kepler-543 b', 9.439280498040063], ['Kepler-303 c', 12.888997483294961]]"
WASP-23 b,"[['WASP-101 b', 69.59671862595216], ['NGTS-1 b', 59.9046252366802], ['WASP-121 b', 66.2769677727024]]"
WASP-26 b,"[['WASP-32 b', 79.85374143255507], ['WASP-44 b', 115.23901043007102]]"
TOI-421 b,"[['TOI-421 c', 0.0], ['HD 38801 b', 20.181284316871846], ['HD 33283 b', 24.347270198674575]]"
EPIC 206024342 b,"[['EPIC 206042996 b', 94.26579831955307], ['NGTS-8 b', 62.474854897379416], ['K2-170 b', 36.04290113710687]]"
GJ 649 b,"[['Gl 686 b', 2.9009600581178843]]"
HD 142 c,"[['HD 142 b', 0.0], ['L 168-9 b', 5.83184386151703], ['GJ 27.1 b', 4.1647390604431305]]"
Kepler-141 b,"[['Kepler-141 c', 0.0], ['Kepler-1410 b', 87.85954974149205], ['Kepler-1347 b', 41.78138236693824], ['TrES-5 b', 94.0624191230347], ['Kepler-993 b', 26.853559860226845], ['Kepler-532 b', 21.852946419155263], ['Kepler-482 b', 14.524012887702485]]"
gam Cep b,"[['Gl 49 b', 4.972354994627463], ['HD 7924 b', 3.777096319791006]]"
HD 136352 d,"[['HIP 79431 b', 7.896066633656066], ['HD 136352 b', 0.0], ['HD 136352 c', 0.0], ['HD 160691 e', 6.082264182884238], ['HD 147513 b', 3.9581735570441787]]"
HD 111998 b,"[['HR 5183 b', 9.553208288614321], ['HD 106515 A b', 6.035195462078614]]"
CFBDSIR J145829+101343 b,"[['HD 141937 b', 18.288171289788615]]"
GJ 876 b,"[['GJ 876 c', 0.0], ['GJ 876 d', 0.0], ['GJ 876 e', 0.0]]"
HD 128311 b,"[['HD 128311 c', 0.0]]"
HD 5608 b,"[['HD 9446 b', 11.402647107519199]]"
