pl_name,ra,dec,st_dist,x,y,z
GJ 180 b,73.458252,-17.773418,11.94,,,
GJ 180 c,73.458252,-17.773418,11.94,,,
GJ 180 d,73.458252,-17.773418,11.94,,,
GJ 2056 b,108.020042,-24.892090,28.47,,,
GJ 229 A c,92.644234,-21.864643,5.76,,,
GJ 229 b,92.644234,-21.864643,5.76,,,
GJ 27.1 b,9.995098,-44.253220,23.62,,,
GJ 273 b,111.852081,5.225785,3.80,,,
GJ 273 c,111.852081,5.225785,3.80,,,
GJ 3021 b,4.052823,-79.851181,17.56,,,
GJ 3082 b,18.642490,-53.942116,16.63,,,
GJ 3138 b,32.295425,-16.339592,28.49,,,
GJ 3138 c,32.295425,-16.339592,28.49,,,
GJ 3138 d,32.295425,-16.339592,28.49,,,
GJ 317 b,130.246730,-23.456289,15.10,,,
GJ 317 c,130.246730,-23.456289,15.10,,,
GJ 328 b,133.781754,1.546508,20.54,,,
GJ 3293 b,67.148820,-25.169301,20.20,,,
GJ 3293 c,67.148820,-25.169301,20.20,,,
GJ 3293 d,67.148820,-25.169301,20.20,,,
GJ 3293 e,67.148820,-25.169301,20.20,,,
GJ 3323 b,75.489280,-6.946263,5.32,,,
GJ 3323 c,75.489280,-6.946263,5.32,,,
GJ 3341 b,78.944663,-31.295951,23.16,,,
GJ 338 B b,138.602905,52.686375,6.33,,,
GJ 3470 b,119.774349,15.391492,29.45,,,
GJ 3512 b,130.333891,59.497391,9.49,,,
GJ 357 b,144.006821,-21.660797,9.44,,,
GJ 357 c,144.006821,-21.660797,9.44,,,
GJ 357 d,144.006821,-21.660797,9.44,,,
GJ 3634 b,164.646242,-31.143989,19.80,,,
GJ 3779 b,200.736403,24.467626,13.75,,,
GJ 3942 b,242.263092,52.943874,16.94,,,
GJ 3998 b,259.002655,11.057666,18.16,,,
GJ 3998 c,259.002655,11.057666,18.16,,,
GJ 411 b,165.834137,35.969879,2.55,,,
GJ 422 b,169.000870,-57.547668,12.67,,,
GJ 4276 b,336.321023,59.413835,21.35,,,
GJ 433 b,173.862289,-32.539970,9.07,,,
GJ 433 c,173.862289,-32.539970,9.07,,,
GJ 433 d,173.862289,-32.539970,9.07,,,
GJ 436 b,175.546219,26.706570,9.76,,,
GJ 480 b,189.718506,11.696165,14.24,,,
GJ 504 b,199.193817,9.424156,17.54,,,
GJ 536 b,210.263290,-2.654864,10.41,,,
GJ 581 b,229.861771,-7.722280,6.30,,,
GJ 581 c,229.861771,-7.722280,6.30,,,
GJ 581 e,229.861771,-7.722280,6.30,,,
GJ 625 b,246.352600,54.304104,6.49,,,
GJ 649 b,254.536880,25.744160,10.38,,,
GJ 667 C b,259.745085,-34.996827,6.80,,,
GJ 667 C c,259.745085,-34.996827,6.80,,,
GJ 667 C e,259.745085,-34.996827,6.80,,,
GJ 667 C f,259.745085,-34.996827,6.80,,,
GJ 667 C g,259.745085,-34.996827,6.80,,,
GJ 674 b,262.166443,-46.895191,4.55,,,
GJ 676 A b,262.546692,-51.636978,16.03,,,
GJ 676 A c,262.546692,-51.636978,16.03,,,
GJ 676 A d,262.546692,-51.636978,16.03,,,
GJ 676 A e,262.546692,-51.636978,16.03,,,
GJ 682 b,264.265259,-44.319214,5.01,,,
GJ 682 c,264.265259,-44.319214,5.01,,,
GJ 685 b,263.893677,61.681564,14.32,,,
GJ 687 b,264.107910,68.339142,4.55,,,
GJ 687 c,264.107910,68.339142,4.55,,,
GJ 832 b,323.391571,-49.009006,4.97,,,
GJ 832 c,323.391571,-49.009006,4.97,,,
GJ 849 b,332.418121,-4.640729,8.80,,,
GJ 86 b,32.608059,-50.823723,10.79,,,
GJ 876 b,343.319733,-14.263700,4.68,,,
GJ 876 c,343.319733,-14.263700,4.68,,,
GJ 876 d,343.319733,-14.263700,4.68,,,
GJ 876 e,343.319733,-14.263700,4.68,,,
GJ 887 b,346.466827,-35.853069,3.29,,,
GJ 887 c,346.466827,-35.853069,3.29,,,
GJ 9066 b,30.054021,13.051965,4.47,,,
GJ 9066 c,30.054021,13.051965,4.47,,,
GJ 96 b,35.561016,47.880028,11.94,,,
GJ 9827 b,351.770142,-1.286273,29.69,,,
GJ 9827 c,351.770142,-1.286273,29.69,,,
GJ 9827 d,351.770142,-1.286273,29.69,,,
GQ Lup b,237.300427,-35.651421,151.82,,,
GSC 06214-00210 b,245.477780,-20.719202,145.00,,,
GU Psc b,18.146006,17.065475,48.00,,,
Gl 378 b,150.590622,48.088806,14.96,,,
Gl 49 b,15.661943,62.345043,9.86,,,
Gl 686 b,264.472290,18.591709,8.16,,,
HAT-P-1 b,344.445104,38.674953,159.71,,,
HAT-P-11 b,297.709351,48.080856,37.81,,,
HAT-P-11 c,297.709351,48.080856,37.81,,,
HAT-P-12 b,209.389489,43.493534,142.50,,,
HAT-P-13 b,129.882536,47.352051,214.00,,,
HAT-P-13 c,129.882536,47.352051,214.00,,,
HAT-P-14 b,260.116169,38.242165,224.10,,,
HAT-P-15 b,66.248026,39.460636,193.56,,,
HAT-P-16 b,9.573181,42.463078,235.00,,,
HAT-P-17 b,324.536396,30.488716,92.63,,,
HAT-P-17 c,324.536396,30.488716,92.63,,,
HAT-P-18 b,256.346473,33.012512,166.00,,,
HAT-P-19 b,9.516742,34.711575,215.00,,,
HAT-P-2 b,245.151489,41.048084,128.25,,,
HAT-P-20 b,111.916469,24.336630,70.00,,,
HAT-P-21 b,171.274955,41.027954,279.48,,,
HAT-P-22 b,155.681719,50.128345,81.96,,,
HAT-P-23 b,306.123854,16.762152,368.61,,,
HAT-P-24 b,108.825058,14.262599,420.26,,,
HAT-P-25 b,48.435419,25.197405,302.95,,,
HAT-P-26 b,213.156383,4.059997,142.41,,,
HAT-P-27 b,222.767436,5.947368,204.00,,,
HAT-P-28 b,13.000766,34.728413,395.00,,,
HAT-P-29 b,33.131142,51.778759,316.36,,,
HAT-P-3 b,206.094121,48.028667,135.08,,,
HAT-P-30 b,123.949894,5.836719,215.29,,,
HAT-P-31 b,271.537705,26.426662,347.48,,,
HAT-P-32 b,31.042848,46.687836,291.51,,,
HAT-P-33 b,113.184212,33.835052,400.55,,,
HAT-P-34 b,303.195342,18.104868,251.08,,,
HAT-P-35 b,123.250764,4.787023,514.20,,,
HAT-P-36 b,188.266255,44.915352,296.93,,,
HAT-P-37 b,284.296064,51.269138,411.00,,,
HAT-P-38 b,35.383234,32.246151,249.00,,,
HAT-P-39 b,113.758247,17.830082,642.00,,,
HAT-P-4 b,229.991354,36.229664,314.00,,,
HAT-P-40 b,335.512861,45.457378,470.68,,,
HAT-P-41 b,297.322651,4.672421,351.63,,,
HAT-P-42 b,135.344391,6.097230,447.00,,,
HAT-P-43 b,128.925737,10.206653,542.00,,,
HAT-P-44 b,213.144074,47.014687,363.00,,,
HAT-P-44 c,213.144074,47.014687,363.00,,,
HAT-P-45 b,274.373238,-3.381036,305.00,,,
HAT-P-46 b,270.444201,-2.970947,296.00,,,
HAT-P-49 b,305.441397,26.692652,353.89,,,
HAT-P-5 b,274.405476,36.621410,306.01,,,
HAT-P-50 b,118.063411,12.139410,497.00,,,
HAT-P-51 b,21.065190,32.810764,470.00,,,
HAT-P-52 b,42.721679,29.022396,385.00,,,
HAT-P-53 b,21.871105,38.968147,719.00,,,
HAT-P-54 b,99.898003,25.482540,144.25,,,
HAT-P-55 b,264.273447,25.731186,480.00,,,
HAT-P-56 b,100.848038,27.252293,323.50,,,
HAT-P-57 b,274.743421,10.597294,282.08,,,
HAT-P-6 b,354.774222,42.465973,277.50,,,
HAT-P-65 b,315.905487,11.989404,841.00,,,
HAT-P-66 b,150.572632,53.950863,927.00,,,
HAT-P-67 b,256.610687,44.776981,320.00,,,
HAT-P-69 b,130.505638,3.710566,343.90,,,
HAT-P-7 b,292.247310,47.969513,344.46,,,
HAT-P-70 b,74.552333,9.997979,329.00,,,
HAT-P-8 b,343.041067,35.447109,212.84,,,
HAT-P-9 b,110.168529,37.140652,480.00,,,
HATS-1 b,175.525336,-23.354836,303.00,,,
HATS-10 b,294.306813,-22.204477,496.00,,,
HATS-11 b,289.400757,-22.389927,967.34,,,
HATS-12 b,289.202393,-19.355907,512.41,,,
HATS-13 b,316.961465,-26.096655,476.00,,,
HATS-14 b,313.215479,-25.687334,513.00,,,
HATS-15 b,311.091961,-19.437510,689.00,,,
HATS-16 b,358.558710,-30.012999,774.00,,,
HATS-17 b,192.189799,-47.613693,339.00,,,
HATS-18 b,173.957397,-29.156012,645.00,,,
HATS-2 b,176.739094,-22.562992,360.00,,,
HATS-22 b,174.009720,-29.543312,207.90,,,
HATS-23 b,286.366699,-50.067352,747.00,,,
HATS-24 b,268.890686,-61.747311,510.00,,,
HATS-25 b,207.907777,-23.781174,466.00,,,
HATS-26 b,144.926863,-28.585590,907.00,,,
HATS-27 b,193.552560,-46.587715,840.00,,,
HATS-28 b,284.399685,-49.138470,521.00,,,
HATS-29 b,285.096424,-54.893192,351.00,,,
HATS-3 b,312.457440,-24.428793,453.00,,,
HATS-30 b,5.618693,-59.942551,339.00,,,
HATS-31 b,191.702789,-24.427364,872.00,,,
HATS-32 b,346.075073,-21.271938,839.00,,,
HATS-33 b,294.633636,-55.330105,255.00,,,
HATS-34 b,0.774485,-62.469341,532.00,,,
HATS-35 b,296.688263,-63.565609,557.00,,,
HATS-36 b,291.478699,-23.202793,878.65,,,
HATS-37 A b,199.801932,-22.986870,211.10,,,
HATS-38 b,154.271165,-25.276266,347.70,,,
HATS-39 b,112.419289,-29.937889,773.00,,,
HATS-4 b,94.112075,-22.546885,420.00,,,
HATS-40 b,100.571251,-29.776806,1431.00,,,
HATS-41 b,103.517418,-27.050388,800.00,,,
HATS-42 b,108.452415,-33.437332,942.00,,,
HATS-43 b,80.538170,-30.970833,341.00,,,
HATS-44 b,84.326706,-27.972610,463.00,,,
HATS-45 b,101.994293,-21.910694,818.00,,,
HATS-46 b,6.702417,-56.316113,448.00,,,
HATS-47 b,287.484377,-49.664963,301.70,,,
HATS-48 A b,288.671978,-59.579377,265.40,,,
HATS-49 b,6.613262,-56.344315,324.60,,,
HATS-5 b,67.222871,-21.481916,257.00,,,
HATS-50 b,300.427490,-26.077583,717.00,,,
HATS-51 b,102.847504,-29.058611,478.00,,,
HATS-52 b,140.087708,-31.269333,631.00,,,
HATS-53 b,176.628006,-33.860054,613.00,,,
HATS-54 b,200.634885,-44.688805,769.00,,,
HATS-55 b,114.283414,-32.755421,623.60,,,
HATS-56 b,180.165125,-45.799443,577.10,,,
HATS-57 b,60.948335,-19.056757,280.00,,,
HATS-58 A b,186.787387,-48.978397,492.00,,,
HATS-59 b,170.325000,-22.388167,654.88,,,
HATS-59 c,170.325000,-22.388167,654.88,,,
HATS-6 b,88.146797,-19.031656,148.40,,,
HATS-60 b,341.364018,-14.991763,494.30,,,
HATS-61 b,61.657782,-25.349710,694.00,,,
HATS-62 b,312.449305,-24.303471,516.80,,,
HATS-63 b,67.418554,-28.197287,634.80,,,
HATS-64 b,144.287625,-29.800437,1083.00,,,
HATS-65 b,292.939799,-26.740201,495.00,,,
HATS-66 b,101.394823,-33.881703,1538.00,,,
HATS-67 b,180.208826,-46.136424,982.00,,,
HATS-68 b,15.005889,-58.904757,618.20,,,
HATS-69 b,289.297350,-60.891683,420.30,,,
HATS-7 b,208.856995,-21.207695,257.00,,,
HATS-70 b,109.104500,-31.244406,1307.00,,,
HATS-71 b,15.551172,-61.756017,140.91,,,
HATS-72 b,339.026329,-16.999941,127.66,,,
HATS-8 b,294.941746,-25.748318,829.00,,,
HATS-9 b,290.810104,-20.166317,654.36,,,
HD 100546 b,173.356003,-70.194786,110.02,,,
HD 100655 b,173.765640,20.441545,137.72,,,
HD 100777 b,173.964676,-4.755697,49.60,,,
HD 10180 c,24.473234,-60.511528,39.00,,,
HD 10180 d,24.473234,-60.511528,39.00,,,
HD 10180 e,24.473234,-60.511528,39.00,,,
HD 10180 f,24.473234,-60.511528,39.00,,,
HD 10180 g,24.473234,-60.511528,39.00,,,
HD 10180 h,24.473234,-60.511528,39.00,,,
HD 101930 b,175.875458,-58.006886,30.05,,,
HD 102117 b,176.210251,-58.703709,39.62,,,
HD 102195 b,176.426224,2.821483,29.36,,,
HD 102272 b,176.598068,14.123986,350.01,,,
HD 102329 b,176.694351,3.474293,218.42,,,
HD 102329 c,176.694351,3.474293,218.42,,,
HD 102365 b,176.629471,-40.500355,9.29,,,
HD 102843 b,177.587204,-1.252453,62.87,,,
HD 102956 b,177.843796,57.640736,122.32,,,
HD 103197 b,178.220749,-50.292824,57.24,,,
HD 103720 b,179.171600,-2.778953,41.60,,,
HD 103774 b,179.231628,-12.107909,56.50,,,
HD 103949 b,179.548767,-23.923887,26.52,,,
HD 104067 b,179.791702,-20.353781,20.38,,,
HD 10442 b,25.471457,2.704376,135.89,,,
HD 104985 b,181.312988,76.905731,100.86,,,
HD 106252 b,183.372955,10.041638,38.23,,,
HD 106270 b,183.405350,-9.513381,94.06,,,
HD 106315 b,183.472473,-0.393484,109.00,,,
HD 106315 c,183.472473,-0.393484,109.00,,,
HD 10647 b,25.622149,-53.740833,17.34,,,
HD 106515 A b,183.777359,-7.257327,34.12,,,
HD 106906 b,184.471634,-55.975525,103.33,,,
HD 10697 b,26.232603,20.083149,33.15,,,
HD 107148 b,184.806213,-3.319789,49.49,,,
HD 108147 b,186.442780,-64.022087,38.96,,,
HD 108341 b,186.880798,-71.422974,49.40,,,
HD 108863 b,187.582962,21.948244,165.52,,,
HD 108874 b,187.612015,22.879829,59.62,,,
HD 108874 c,187.612015,22.879829,59.62,,,
HD 109246 b,188.029953,74.489548,67.97,,,
HD 109271 b,188.398148,-11.621868,55.96,,,
HD 109271 c,188.398148,-11.621868,55.96,,,
HD 109749 b,189.318237,-40.812115,63.20,,,
HD 110014 b,189.811523,-7.995564,100.98,,,
HD 111232 b,192.215637,-68.425148,28.98,,,
HD 111591 b,192.572067,22.863407,114.54,,,
HD 111998 b,193.296494,-3.553098,33.26,,,
HD 113337 b,195.445526,63.610226,36.22,,,
HD 113538 b,196.239487,-52.442924,15.90,,,
HD 113538 c,196.239487,-52.442924,15.90,,,
HD 113996 b,196.794708,27.624741,116.34,,,
HD 114386 b,197.665924,-35.054783,27.95,,,
HD 114613 b,198.013275,-37.803020,20.29,,,
HD 114729 b,198.184402,-31.873348,37.85,,,
HD 114762 b,198.082260,17.517122,40.23,,,
HD 114783 b,198.182434,-2.265040,20.40,,,
HD 114783 c,198.182434,-2.265040,20.40,,,
HD 11506 b,28.210558,-19.506975,51.34,,,
HD 11506 c,28.210558,-19.506975,51.34,,,
HD 116029 b,200.164764,24.648699,123.68,,,
HD 116029 c,200.164764,24.648699,123.68,,,
HD 117207 b,202.337967,-35.570995,32.38,,,
HD 11755 b,29.708696,73.152382,236.64,,,
HD 117618 b,203.106476,-47.271362,37.82,,,
HD 118203 b,203.510574,53.728531,92.51,,,
HD 11964 b,29.290026,-10.242428,33.57,,,
HD 11964 c,29.290026,-10.242428,33.57,,,
HD 11977 b,28.733881,-67.647301,68.05,,,
HD 120084 b,205.663345,78.064438,103.35,,,
HD 121504 b,209.321823,-56.040043,41.71,,,
HD 12484 b,30.611374,2.815859,51.10,,,
HD 125390 b,214.538834,38.966976,154.33,,,
HD 125595 b,215.346603,-40.393948,28.22,,,
HD 125612 b,215.222977,-17.481522,57.72,,,
HD 125612 c,215.222977,-17.481522,57.72,,,
HD 125612 d,215.222977,-17.481522,57.72,,,
HD 12648 b,34.748653,85.736153,183.15,,,
HD 126525 b,216.887375,-51.933086,37.69,,,
HD 12661 b,31.142866,25.414305,37.89,,,
HD 12661 c,31.142866,25.414305,37.89,,,
HD 126614 b,216.701172,-5.177780,73.25,,,
HD 128311 b,219.002335,9.746518,16.52,,,
HD 128311 c,219.002335,9.746518,16.52,,,
HD 128356 b,219.270355,-25.802563,26.03,,,
HD 129445 b,221.512772,-68.762749,67.57,,,
HD 130322 b,221.886368,-0.281476,31.91,,,
HD 131496 b,223.345947,18.235401,132.34,,,
HD 131664 b,225.025314,-73.535339,52.89,,,
HD 13167 b,32.057426,-24.695410,149.57,,,
HD 13189 b,32.417381,32.316437,504.71,,,
HD 132406 b,224.227707,53.382168,70.93,,,
HD 132563 b,224.589661,44.043148,105.47,,,
HD 133131 A b,225.897705,-27.842573,47.00,,,
HD 133131 A c,225.897705,-27.842573,47.00,,,
HD 133131 B b,225.899200,-27.840994,47.00,,,
HD 134060 b,227.686432,-61.422321,24.20,,,
HD 134060 c,227.686432,-61.422321,24.20,,,
HD 134987 b,228.369446,-25.309347,26.20,,,
HD 134987 c,228.369446,-25.309347,26.20,,,
HD 136352 b,230.450623,-48.317627,14.81,,,
HD 136352 c,230.450623,-48.317627,14.81,,,
HD 136352 d,230.450623,-48.317627,14.81,,,
HD 136418 b,229.775757,41.733208,105.49,,,
HD 13724 b,33.086163,-46.816387,43.52,,,
HD 137388 b,233.916367,-80.204590,40.53,,,
HD 13908 b,34.560665,65.594360,79.73,,,
HD 13908 c,34.560665,65.594360,79.73,,,
HD 13931 b,34.197414,43.772995,47.46,,,
HD 139357 b,233.817490,53.922142,112.45,,,
HD 1397 b,4.446472,-66.358910,79.75,,,
HD 14067 b,34.293499,23.767832,142.60,,,
HD 141399 b,236.724228,46.986263,36.20,,,
HD 141399 c,236.724228,46.986263,36.20,,,
HD 141399 d,236.724228,46.986263,36.20,,,
HD 141399 e,236.724228,46.986263,36.20,,,
HD 141937 b,238.073120,-18.436066,33.39,,,
HD 142 b,1.579898,-49.075191,26.21,,,
HD 142 c,1.579898,-49.075191,26.21,,,
HD 142022 A b,242.562592,-84.231613,34.31,,,
HD 142245 b,238.234497,15.430708,97.50,,,
HD 142415 b,239.419968,-60.200256,35.57,,,
HD 143105 b,238.402328,68.720116,48.70,,,
HD 143361 b,240.459778,-44.434536,68.65,,,
HD 145377 b,242.901855,-27.078173,53.57,,,
HD 145457 b,242.516312,26.742750,135.82,,,
HD 145934 b,243.291140,13.239476,229.35,,,
HD 1461 b,4.674448,-8.053001,23.47,,,
HD 1461 c,4.674448,-8.053001,23.47,,,
HD 147018 b,245.750610,-61.688763,42.96,,,
HD 147018 c,245.750610,-61.688763,42.96,,,
HD 147379 b,244.178116,67.238846,10.77,,,
HD 147513 b,246.005371,-39.192982,12.91,,,
HD 14787 b,35.808552,10.836746,119.54,,,
HD 147873 b,246.438141,-33.567120,109.38,,,
HD 147873 c,246.438141,-33.567120,109.38,,,
HD 148156 b,247.072006,-46.317623,57.22,,,
HD 148164 b,246.435547,11.919066,77.37,,,
HD 148164 c,246.435547,11.919066,77.37,,,
HD 148284 b,246.451721,30.265127,121.61,,,
HD 148427 b,247.117294,-13.399640,71.50,,,
HD 149026 b,247.623413,38.347309,76.03,,,
HD 149143 b,248.212708,2.084832,73.43,,,
HD 1502 b,4.821110,14.054755,191.96,,,
HD 150706 b,247.823273,79.789772,28.29,,,
HD 152079 b,253.373901,-46.332958,88.11,,,
HD 152581 b,253.431595,11.973746,166.54,,,
